domain,site_type
www.nifa.usda.gov,fed_gov_from_usa_dot_gov
www.nifc.gov,fed_gov_from_usa_dot_gov
www.nigc.gov,fed_gov_from_usa_dot_gov
www.nih.gov,fed_gov_from_usa_dot_gov
www.nimh.nih.gov,fed_gov_from_usa_dot_gov
www.ninds.nih.gov,fed_gov_from_usa_dot_gov
www.nist.gov,fed_gov_from_usa_dot_gov
www.nlrb.gov,fed_gov_from_usa_dot_gov
www.nmb.gov,fed_gov_from_usa_dot_gov
www.nmfs.noaa.gov,fed_gov_from_usa_dot_gov
www.noaa.gov,fed_gov_from_usa_dot_gov
www.northcom.mil,fed_gov_from_usa_dot_gov
www.nps.gov,fed_gov_from_usa_dot_gov
www.nrc.gov,fed_gov_from_usa_dot_gov
www.nrcs.usda.gov,fed_gov_from_usa_dot_gov
www.nro.gov,fed_gov_from_usa_dot_gov
www.nsa.gov,fed_gov_from_usa_dot_gov
www.nsf.gov,fed_gov_from_usa_dot_gov
www.ntia.doc.gov,fed_gov_from_usa_dot_gov
www.ntis.gov,fed_gov_from_usa_dot_gov
www.ntsb.gov,fed_gov_from_usa_dot_gov
www.nwcouncil.org,fed_gov_from_usa_dot_gov
www.nws.noaa.gov,fed_gov_from_usa_dot_gov
www.nwtrb.gov,fed_gov_from_usa_dot_gov
www.occ.gov,fed_gov_from_usa_dot_gov
www.ocwr.gov,fed_gov_from_usa_dot_gov
www.oge.gov,fed_gov_from_usa_dot_gov
www.ojjdp.gov,fed_gov_from_usa_dot_gov
www.openworld.gov,fed_gov_from_usa_dot_gov
www.opm.gov,fed_gov_from_usa_dot_gov
www.ornl.gov,fed_gov_from_usa_dot_gov
www.osha.gov,fed_gov_from_usa_dot_gov
www.oshrc.gov,fed_gov_from_usa_dot_gov
www.osmre.gov,fed_gov_from_usa_dot_gov
www.osti.gov,fed_gov_from_usa_dot_gov
www.pacom.mil,fed_gov_from_usa_dot_gov
www.parentcenterhub.org,fed_gov_from_usa_dot_gov
www.pbgc.gov,fed_gov_from_usa_dot_gov
www.pclob.gov,fed_gov_from_usa_dot_gov
www.peacecorps.gov,fed_gov_from_usa_dot_gov
www.pfpa.mil,fed_gov_from_usa_dot_gov
www.phmsa.dot.gov,fed_gov_from_usa_dot_gov
www.prc.gov,fed_gov_from_usa_dot_gov
www.presidio.gov,fed_gov_from_usa_dot_gov
www.psa.gov,fed_gov_from_usa_dot_gov
www.rd.usda.gov,fed_gov_from_usa_dot_gov
www.rfa.org,fed_gov_from_usa_dot_gov
www.rferl.org,fed_gov_from_usa_dot_gov
www.rma.usda.gov,fed_gov_from_usa_dot_gov
www.samhsa.gov,fed_gov_from_usa_dot_gov
www.sba.gov,fed_gov_from_usa_dot_gov
www.seaway.dot.gov,fed_gov_from_usa_dot_gov
www.sec.gov,fed_gov_from_usa_dot_gov
www.secretservice.gov,fed_gov_from_usa_dot_gov
www.senate.gov,fed_gov_from_usa_dot_gov
www.si.edu,fed_gov_from_usa_dot_gov
www.sji.gov,fed_gov_from_usa_dot_gov
www.socom.mil,fed_gov_from_usa_dot_gov
